rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0001.jpg,0.4,0.7193,0.6957,0.5714,1.0,8,4,False,True
2,frame_0031.jpg,12.4,0.7105,0.5924,0.7143,1.0,8,5,False,True
3,frame_0073.jpg,29.2,0.6801,0.5316,0.7143,1.0,7,5,False,True
4,frame_0072.jpg,28.8,0.6771,0.6114,0.5714,1.0,6,4,False,False
5,frame_0079.jpg,31.6,0.6748,0.601,0.7143,0.8,8,5,False,True
6,frame_0077.jpg,30.8,0.6712,0.6476,0.5714,0.88,7,4,False,False
7,frame_0288.jpg,115.2,0.6643,0.6121,0.7143,0.72,6,5,False,True
8,frame_0295.jpg,118.0,0.6467,0.6786,0.5714,0.68,4,4,False,True
9,frame_0000.jpg,0.0,0.642,0.4555,0.7143,1.0,6,5,False,False
10,frame_0123.jpg,49.2,0.6417,0.5989,0.7143,0.64,5,5,False,True
11,frame_0287.jpg,114.8,0.6395,0.6642,0.5714,0.68,7,4,False,False
12,frame_0033.jpg,13.2,0.6367,0.4448,0.7143,1.0,7,5,False,False
13,frame_0067.jpg,26.8,0.6238,0.5048,0.5714,1.0,7,4,False,True
14,frame_0284.jpg,113.6,0.6157,0.5788,0.7143,0.56,5,5,False,False
15,frame_0070.jpg,28.0,0.6124,0.4819,0.5714,1.0,5,4,False,False
16,frame_0071.jpg,28.4,0.6014,0.5457,0.4286,1.0,5,3,False,False
17,frame_0306.jpg,122.4,0.6004,0.6762,0.7143,0.24,6,5,False,True
18,frame_0127.jpg,50.8,0.5996,0.4506,0.7143,0.8,7,5,False,False
19,frame_0116.jpg,46.4,0.5969,0.5356,0.8571,0.36,8,6,False,True
20,frame_0276.jpg,110.4,0.5964,0.5826,0.8571,0.24,8,6,False,True
21,frame_0387.jpg,154.8,0.5912,0.5023,1.0,0.2,9,7,False,True
22,frame_0074.jpg,29.6,0.5805,0.5039,0.4286,1.0,8,3,False,False
23,frame_0095.jpg,38.0,0.5787,0.5791,0.8571,0.16,7,6,False,False
24,frame_0291.jpg,116.4,0.5743,0.5554,0.4286,0.84,7,3,False,False
25,frame_0376.jpg,150.4,0.5693,0.646,0.7143,0.16,8,5,False,False
26,frame_0375.jpg,150.0,0.5691,0.6296,0.7143,0.2,8,5,False,False
27,frame_0069.jpg,27.6,0.5688,0.3948,0.5714,1.0,5,4,False,False
28,frame_0117.jpg,46.8,0.5674,0.4605,0.8571,0.4,7,6,False,False
29,frame_0020.jpg,8.0,0.5665,0.4758,0.4286,1.0,3,3,False,False
30,frame_0008.jpg,3.2,0.5655,0.4738,0.4286,1.0,4,3,False,False
31,frame_0130.jpg,52.0,0.5654,0.5056,0.4286,0.92,4,3,False,False
32,frame_0128.jpg,51.2,0.5652,0.5372,0.4286,0.84,7,3,False,False
33,frame_0129.jpg,51.6,0.5621,0.5151,0.4286,0.88,7,3,False,False
34,frame_0278.jpg,111.2,0.5599,0.5632,0.7143,0.32,8,5,False,False
35,frame_0126.jpg,50.4,0.5593,0.4717,0.5714,0.76,7,4,False,False
36,frame_0294.jpg,117.6,0.558,0.4852,0.5714,0.72,5,4,False,False
37,frame_0329.jpg,131.6,0.558,0.5698,0.8571,0.08,11,6,False,False
38,frame_0317.jpg,126.8,0.5546,0.6863,0.5714,0.2,7,4,False,False
39,frame_0292.jpg,116.8,0.5513,0.5254,0.4286,0.8,4,3,False,False
40,frame_0377.jpg,150.8,0.5513,0.5404,0.8571,0.12,10,6,False,False
41,frame_0285.jpg,114.0,0.5511,0.605,0.4286,0.6,6,3,False,False
42,frame_0277.jpg,110.8,0.55,0.5594,0.7143,0.28,7,5,False,False
43,frame_0367.jpg,146.8,0.5496,0.553,0.8571,0.08,9,6,False,False
44,frame_0289.jpg,115.6,0.5488,0.5364,0.4286,0.76,5,3,False,False
45,frame_0389.jpg,155.6,0.5467,0.5312,0.8571,0.12,8,6,False,False
46,frame_0004.jpg,1.6,0.5465,0.3501,0.5714,1.0,5,4,False,False
47,frame_0316.jpg,126.4,0.5431,0.5936,0.7143,0.16,7,5,False,False
48,frame_0328.jpg,131.2,0.539,0.6175,0.7143,0.08,10,5,False,False
49,frame_0290.jpg,116.0,0.5356,0.4941,0.4286,0.8,4,3,False,False
50,frame_0274.jpg,109.6,0.5326,0.5726,0.7143,0.16,5,5,False,False
51,frame_0168.jpg,67.2,0.5317,0.4965,0.5714,0.56,6,4,False,False
